ciudad,codigo,UE,A111A,H001A,J000A,A121A,Q000A,Q000B,A700A,A131A
05018,3115,14,20.957,78.0,2.858,13.902,4.943,0.458,13.989,7.055
05018,31151,2,,,,,,,,
05018,3116,6,211.588,165.0,41.853,156.341,55.571,2.659,160.247,55.247
05018,31161,6,211.588,165.0,41.853,156.341,55.571,2.659,160.247,55.247
05018,311613,3,,,,,,,,
05018,3118,338,93.034,766.0,13.736,59.22,33.489,2.465,59.414,33.814
05018,31181,287,55.044,591.0,9.124,33.523,17.785,1.275,33.67,21.521
05018,311812,287,55.044,591.0,9.124,33.523,17.785,1.275,33.67,21.521
05018,31183,51,37.99,175.0,4.612,25.697,15.704,1.19,25.744,12.293
05018,3119,5,5.543,21.0,0.632,3.706,1.741,0.208,3.706,1.837
05018,312,73,25.664,179.0,5.173,17.364,23.882,1.612,17.417,8.3
05018,3121,73,25.664,179.0,5.173,17.364,23.882,1.612,17.417,8.3
05018,31211,73,25.664,179.0,5.173,17.364,23.882,1.612,17.417,8.3
05018,325,6,,,,,,,,
05018,327,49,862.201,477.0,109.406,679.676,599.358,18.45,718.48,182.525
05018,3273,33,99.441,131.0,10.345,80.712,63.127,6.874,81.18,18.729
05018,3274,4,759.62,318.0,97.849,597.118,533.79,11.39,635.367,162.502
05018,331,6,36192.692,8241.0,3323.223,16517.416,62223.656,1407.058,17842.925,19675.276
05018,3312,1,,,,,,,,
05018,33122,1,,,,,,,,
05018,43,296,856.13,2322.0,223.903,271.599,626.228,42.556,2130.84,584.531
05018,431,33,218.296,536.0,37.109,79.242,93.134,6.75,570.682,139.054
05018,4311,27,146.323,393.0,28.352,54.308,74.516,5.389,384.237,92.015
05018,43111,15,36.501,63.0,3.484,6.135,26.891,0.565,82.861,30.366
05018,43112,2,,,,,,,,
05018,431121,2,,,,,,,,
05018,43113,2,,,,,,,,
05018,43116,1,,,,,,,,
05018,43117,2,,,,,,,,
05018,4312,6,71.973,143.0,8.757,24.934,18.618,1.361,186.445,47.039
05018,43121,6,71.973,143.0,8.757,24.934,18.618,1.361,186.445,47.039
05018,431211,2,,,,,,,,
05018,433,14,11.418,83.0,3.452,3.347,16.539,1.336,18.551,8.071
05018,46,3302,2310.429,11759.0,332.821,791.09,1655.378,125.363,8356.994,1519.339
05018,461,1492,269.277,3292.0,75.174,81.656,188.005,12.362,870.346,187.621
05018,4611,1396,256.069,3119.0,73.812,78.943,172.551,11.268,842.283,177.126
05018,46111,1084,86.127,1967.0,15.521,29.57,114.899,6.499,279.167,56.557
05018,46112,128,69.4,412.0,23.875,22.108,23.499,1.816,231.105,47.292
05018,461121,60,55.218,271.0,12.878,16.056,18.119,1.405,163.556,39.162
